,0,1,2,3,4,5,6,7,8,9,10,11
430,s,y,s,t,e,m,,,,,,
431,l,1,,,,,,,,,,
432,l,2,,,,,,,,,,
433,f,e,a,t,u,r,e,s,,,,
434,t,h,e,t,a,,,,,,,
435,i,n,t,e,r,c,e,p,t,,,
436,c,o,e,f,f,i,c,i,e,n,t,s
437,a,c,c,u,r,a,c,y,,,,
438,a,u,r,o,c,,,,,,,
439,a,u,p,r,,,,,,,,
440,s,y,s,t,e,m,,,,,,
441,l,1,,,,,,,,,,
442,l,2,,,,,,,,,,
443,f,e,a,t,u,r,e,s,,,,
444,t,h,e,t,a,,,,,,,
445,i,n,t,e,r,c,e,p,t,,,
446,c,o,e,f,f,i,c,i,e,n,t,s
447,a,c,c,u,r,a,c,y,,,,
448,a,u,r,o,c,,,,,,,
449,a,u,p,r,,,,,,,,
450,s,y,s,t,e,m,,,,,,
451,l,1,,,,,,,,,,
452,l,2,,,,,,,,,,
453,f,e,a,t,u,r,e,s,,,,
454,t,h,e,t,a,,,,,,,
455,i,n,t,e,r,c,e,p,t,,,
456,c,o,e,f,f,i,c,i,e,n,t,s
457,a,c,c,u,r,a,c,y,,,,
458,a,u,r,o,c,,,,,,,
459,a,u,p,r,,,,,,,,
460,s,y,s,t,e,m,,,,,,
461,l,1,,,,,,,,,,
462,l,2,,,,,,,,,,
463,f,e,a,t,u,r,e,s,,,,
464,t,h,e,t,a,,,,,,,
465,i,n,t,e,r,c,e,p,t,,,
466,c,o,e,f,f,i,c,i,e,n,t,s
467,a,c,c,u,r,a,c,y,,,,
468,a,u,r,o,c,,,,,,,
469,a,u,p,r,,,,,,,,
470,s,y,s,t,e,m,,,,,,
471,l,1,,,,,,,,,,
472,l,2,,,,,,,,,,
473,f,e,a,t,u,r,e,s,,,,
474,t,h,e,t,a,,,,,,,
475,i,n,t,e,r,c,e,p,t,,,
476,c,o,e,f,f,i,c,i,e,n,t,s
477,a,c,c,u,r,a,c,y,,,,
478,a,u,r,o,c,,,,,,,
479,a,u,p,r,,,,,,,,
480,s,y,s,t,e,m,,,,,,
481,l,1,,,,,,,,,,
482,l,2,,,,,,,,,,
483,f,e,a,t,u,r,e,s,,,,
484,t,h,e,t,a,,,,,,,
485,i,n,t,e,r,c,e,p,t,,,
486,c,o,e,f,f,i,c,i,e,n,t,s
487,a,c,c,u,r,a,c,y,,,,
488,a,u,r,o,c,,,,,,,
489,a,u,p,r,,,,,,,,
490,s,y,s,t,e,m,,,,,,
491,l,1,,,,,,,,,,
492,l,2,,,,,,,,,,
493,f,e,a,t,u,r,e,s,,,,
494,t,h,e,t,a,,,,,,,
495,i,n,t,e,r,c,e,p,t,,,
496,c,o,e,f,f,i,c,i,e,n,t,s
497,a,c,c,u,r,a,c,y,,,,
498,a,u,r,o,c,,,,,,,
499,a,u,p,r,,,,,,,,
500,s,y,s,t,e,m,,,,,,
501,l,1,,,,,,,,,,
502,l,2,,,,,,,,,,
503,f,e,a,t,u,r,e,s,,,,
504,t,h,e,t,a,,,,,,,
505,i,n,t,e,r,c,e,p,t,,,
506,c,o,e,f,f,i,c,i,e,n,t,s
507,a,c,c,u,r,a,c,y,,,,
508,a,u,r,o,c,,,,,,,
509,a,u,p,r,,,,,,,,
510,s,y,s,t,e,m,,,,,,
511,l,1,,,,,,,,,,
512,l,2,,,,,,,,,,
513,f,e,a,t,u,r,e,s,,,,
514,t,h,e,t,a,,,,,,,
515,i,n,t,e,r,c,e,p,t,,,
516,c,o,e,f,f,i,c,i,e,n,t,s
517,a,c,c,u,r,a,c,y,,,,
518,a,u,r,o,c,,,,,,,
519,a,u,p,r,,,,,,,,
520,s,y,s,t,e,m,,,,,,
521,l,1,,,,,,,,,,
522,l,2,,,,,,,,,,
523,f,e,a,t,u,r,e,s,,,,
524,t,h,e,t,a,,,,,,,
525,i,n,t,e,r,c,e,p,t,,,
526,c,o,e,f,f,i,c,i,e,n,t,s
527,a,c,c,u,r,a,c,y,,,,
528,a,u,r,o,c,,,,,,,
529,a,u,p,r,,,,,,,,
530,s,y,s,t,e,m,,,,,,
531,l,1,,,,,,,,,,
532,l,2,,,,,,,,,,
533,f,e,a,t,u,r,e,s,,,,
534,t,h,e,t,a,,,,,,,
535,i,n,t,e,r,c,e,p,t,,,
536,c,o,e,f,f,i,c,i,e,n,t,s
537,a,c,c,u,r,a,c,y,,,,
538,a,u,r,o,c,,,,,,,
539,a,u,p,r,,,,,,,,
540,s,y,s,t,e,m,,,,,,
541,l,1,,,,,,,,,,
542,l,2,,,,,,,,,,
543,f,e,a,t,u,r,e,s,,,,
544,t,h,e,t,a,,,,,,,
545,i,n,t,e,r,c,e,p,t,,,
546,c,o,e,f,f,i,c,i,e,n,t,s
547,a,c,c,u,r,a,c,y,,,,
548,a,u,r,o,c,,,,,,,
549,a,u,p,r,,,,,,,,
550,s,y,s,t,e,m,,,,,,
551,l,1,,,,,,,,,,
552,l,2,,,,,,,,,,
553,f,e,a,t,u,r,e,s,,,,
554,t,h,e,t,a,,,,,,,
555,i,n,t,e,r,c,e,p,t,,,
556,c,o,e,f,f,i,c,i,e,n,t,s
557,a,c,c,u,r,a,c,y,,,,
558,a,u,r,o,c,,,,,,,
559,a,u,p,r,,,,,,,,
560,s,y,s,t,e,m,,,,,,
561,l,1,,,,,,,,,,
562,l,2,,,,,,,,,,
563,f,e,a,t,u,r,e,s,,,,
564,t,h,e,t,a,,,,,,,
565,i,n,t,e,r,c,e,p,t,,,
566,c,o,e,f,f,i,c,i,e,n,t,s
567,a,c,c,u,r,a,c,y,,,,
568,a,u,r,o,c,,,,,,,
569,a,u,p,r,,,,,,,,
570,s,y,s,t,e,m,,,,,,
571,l,1,,,,,,,,,,
572,l,2,,,,,,,,,,
573,f,e,a,t,u,r,e,s,,,,
574,t,h,e,t,a,,,,,,,
575,i,n,t,e,r,c,e,p,t,,,
576,c,o,e,f,f,i,c,i,e,n,t,s
577,a,c,c,u,r,a,c,y,,,,
578,a,u,r,o,c,,,,,,,
579,a,u,p,r,,,,,,,,
580,s,y,s,t,e,m,,,,,,
581,l,1,,,,,,,,,,
582,l,2,,,,,,,,,,
583,f,e,a,t,u,r,e,s,,,,
584,t,h,e,t,a,,,,,,,
585,i,n,t,e,r,c,e,p,t,,,
586,c,o,e,f,f,i,c,i,e,n,t,s
587,a,c,c,u,r,a,c,y,,,,
588,a,u,r,o,c,,,,,,,
589,a,u,p,r,,,,,,,,
590,s,y,s,t,e,m,,,,,,
591,l,1,,,,,,,,,,
592,l,2,,,,,,,,,,
593,f,e,a,t,u,r,e,s,,,,
594,t,h,e,t,a,,,,,,,
595,i,n,t,e,r,c,e,p,t,,,
596,c,o,e,f,f,i,c,i,e,n,t,s
597,a,c,c,u,r,a,c,y,,,,
598,a,u,r,o,c,,,,,,,
599,a,u,p,r,,,,,,,,
600,s,y,s,t,e,m,,,,,,
601,l,1,,,,,,,,,,
602,l,2,,,,,,,,,,
603,f,e,a,t,u,r,e,s,,,,
604,t,h,e,t,a,,,,,,,
605,i,n,t,e,r,c,e,p,t,,,
606,c,o,e,f,f,i,c,i,e,n,t,s
607,a,c,c,u,r,a,c,y,,,,
608,a,u,r,o,c,,,,,,,
609,a,u,p,r,,,,,,,,
610,s,y,s,t,e,m,,,,,,
611,l,1,,,,,,,,,,
612,l,2,,,,,,,,,,
613,f,e,a,t,u,r,e,s,,,,
614,t,h,e,t,a,,,,,,,
615,i,n,t,e,r,c,e,p,t,,,
616,c,o,e,f,f,i,c,i,e,n,t,s
617,a,c,c,u,r,a,c,y,,,,
618,a,u,r,o,c,,,,,,,
619,a,u,p,r,,,,,,,,
620,s,y,s,t,e,m,,,,,,
621,l,1,,,,,,,,,,
622,l,2,,,,,,,,,,
623,f,e,a,t,u,r,e,s,,,,
624,t,h,e,t,a,,,,,,,
625,i,n,t,e,r,c,e,p,t,,,
626,c,o,e,f,f,i,c,i,e,n,t,s
627,a,c,c,u,r,a,c,y,,,,
628,a,u,r,o,c,,,,,,,
629,a,u,p,r,,,,,,,,
630,s,y,s,t,e,m,,,,,,
631,l,1,,,,,,,,,,
632,l,2,,,,,,,,,,
633,f,e,a,t,u,r,e,s,,,,
634,t,h,e,t,a,,,,,,,
635,i,n,t,e,r,c,e,p,t,,,
636,c,o,e,f,f,i,c,i,e,n,t,s
637,a,c,c,u,r,a,c,y,,,,
638,a,u,r,o,c,,,,,,,
639,a,u,p,r,,,,,,,,
640,s,y,s,t,e,m,,,,,,
641,l,1,,,,,,,,,,
642,l,2,,,,,,,,,,
643,f,e,a,t,u,r,e,s,,,,
644,t,h,e,t,a,,,,,,,
645,i,n,t,e,r,c,e,p,t,,,
646,c,o,e,f,f,i,c,i,e,n,t,s
647,a,c,c,u,r,a,c,y,,,,
648,a,u,r,o,c,,,,,,,
649,a,u,p,r,,,,,,,,
650,s,y,s,t,e,m,,,,,,
651,l,1,,,,,,,,,,
652,l,2,,,,,,,,,,
653,f,e,a,t,u,r,e,s,,,,
654,t,h,e,t,a,,,,,,,
655,i,n,t,e,r,c,e,p,t,,,
656,c,o,e,f,f,i,c,i,e,n,t,s
657,a,c,c,u,r,a,c,y,,,,
658,a,u,r,o,c,,,,,,,
659,a,u,p,r,,,,,,,,
660,s,y,s,t,e,m,,,,,,
661,l,1,,,,,,,,,,
662,l,2,,,,,,,,,,
663,f,e,a,t,u,r,e,s,,,,
664,t,h,e,t,a,,,,,,,
665,i,n,t,e,r,c,e,p,t,,,
666,c,o,e,f,f,i,c,i,e,n,t,s
667,a,c,c,u,r,a,c,y,,,,
668,a,u,r,o,c,,,,,,,
669,a,u,p,r,,,,,,,,
670,s,y,s,t,e,m,,,,,,
671,l,1,,,,,,,,,,
672,l,2,,,,,,,,,,
673,f,e,a,t,u,r,e,s,,,,
674,t,h,e,t,a,,,,,,,
675,i,n,t,e,r,c,e,p,t,,,
676,c,o,e,f,f,i,c,i,e,n,t,s
677,a,c,c,u,r,a,c,y,,,,
678,a,u,r,o,c,,,,,,,
679,a,u,p,r,,,,,,,,
680,s,y,s,t,e,m,,,,,,
681,l,1,,,,,,,,,,
682,l,2,,,,,,,,,,
683,f,e,a,t,u,r,e,s,,,,
684,t,h,e,t,a,,,,,,,
685,i,n,t,e,r,c,e,p,t,,,
686,c,o,e,f,f,i,c,i,e,n,t,s
687,a,c,c,u,r,a,c,y,,,,
688,a,u,r,o,c,,,,,,,
689,a,u,p,r,,,,,,,,
690,s,y,s,t,e,m,,,,,,
691,l,1,,,,,,,,,,
692,l,2,,,,,,,,,,
693,f,e,a,t,u,r,e,s,,,,
