,walk_length,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
86,3,0.25406086,0.1814804,"(24, 55)",0,0,True,0.41667783,0.48186287
87,3,0.23598006,0.28092924,"(79, 29)",0,1,False,0.5434788,0.51123536
88,3,0.20936926,0.21178488,"(97, 57)",0,1,False,0.5028679,0.5006039
89,3,0.24687809,0.2524118,"(1, 57)",0,1,False,0.50554156,0.5013834
90,3,0.19505364,0.21481599,"(1, 84)",0,1,False,0.52410805,0.50494045
91,3,0.19153546,0.17732371,"(84, 50)",0,0,True,0.48073554,0.49644712
92,3,0.15518086,0.17526154,"(50, 82)",0,1,False,0.53038454,0.50502
93,3,0.23110326,0.21202765,"(82, 68)",0,0,True,0.47847635,0.4952312
94,3,0.2044703,0.19953041,"(68, 54)",0,0,True,0.4938863,0.49876502
95,3,0.17983006,0.21629956,"(93, 54)",0,1,False,0.5460323,0.50911635
96,3,0.22379495,0.2315034,"(4, 93)",0,1,False,0.50846523,0.5019271
97,3,0.16944064,0.18748008,"(96, 4)",0,1,False,0.52527094,0.50450975
98,3,0.20825969,0.2027707,"(9, 17)",0,0,True,0.49332288,0.49862775
99,3,0.2114472,0.17665121,"(83, 35)",0,0,True,0.45517117,0.4913019
100,3,0.18280466,0.21363923,"(81, 37)",0,1,False,0.538889,0.5077081
101,3,0.22622181,0.19000384,"(42, 81)",0,0,True,0.4564924,0.49094647
102,3,0.20861842,0.14117616,"(42, 85)",0,0,True,0.40359735,0.48314577
103,3,0.23077112,0.18812558,"(7, 21)",0,0,True,0.4490978,0.48934022
104,3,0.20258182,0.22737108,"(21, 44)",0,1,False,0.5288279,0.50619704
105,4,1.2681612,0.96634585,"(0, 1)",1,0,False,0.4324649,0.42511374
106,4,1.267561,1.1581225,"(99, 0)",0,0,True,0.47744173,0.47266763
107,4,1.0421345,1.6612611,"(2, 1)",1,1,True,0.6145091,0.6500199
108,4,0.67108756,1.461021,"(3, 2)",1,1,True,0.68524694,0.687817
109,4,0.635836,1.1180409,"(3, 4)",1,1,True,0.6374683,0.61826843
110,4,1.307349,1.1101409,"(6, 5)",1,0,False,0.4592122,0.45085713
111,4,0.94221944,1.0602663,"(9, 8)",1,1,True,0.5294751,0.5294775
112,4,0.5023067,1.618665,"(13, 12)",1,1,True,0.7631714,0.75331265
113,4,0.74040043,1.1600546,"(13, 14)",1,1,True,0.6104089,0.60340047
114,4,0.9098631,0.8869083,"(17, 16)",1,0,False,0.49361217,0.49426153
115,4,0.771326,1.2185655,"(21, 22)",1,1,True,0.6123778,0.60998267
116,4,0.91208297,1.1611159,"(24, 25)",1,1,True,0.56006,0.56193846
117,4,0.8407991,1.2617495,"(25, 26)",1,1,True,0.6001048,0.60371065
118,4,0.52292025,0.9169845,"(27, 26)",1,1,True,0.6368369,0.5972607
119,4,0.44201884,1.4214911,"(28, 27)",1,1,True,0.7628031,0.72700346
120,4,0.61749345,1.0375645,"(29, 28)",1,1,True,0.62690526,0.6035003
121,4,0.93139356,1.2656848,"(29, 30)",1,1,True,0.5760763,0.5828032
122,4,1.1982418,1.117576,"(31, 30)",1,0,False,0.48258373,0.47984448
123,4,0.6408949,1.0093491,"(33, 32)",1,1,True,0.6116363,0.59108543
124,4,0.59680223,0.8679659,"(34, 33)",1,1,True,0.592562,0.5673786
125,4,1.1941932,1.0727109,"(35, 36)",1,0,False,0.47320524,0.46966666
126,4,1.0211446,1.1651578,"(38, 37)",1,1,True,0.5329353,0.5359411
127,4,1.4764588,1.2199045,"(38, 39)",1,0,False,0.4524259,0.43621096
128,4,0.8644398,1.1242106,"(41, 40)",1,1,True,0.56531334,0.5645799
129,4,0.79781497,1.1941373,"(42, 43)",1,1,True,0.5994809,0.5978037
130,4,0.96962285,1.1554269,"(43, 44)",1,1,True,0.54371756,0.5463178
131,4,0.88303554,1.5848746,"(46, 45)",1,1,True,0.642193,0.6685954
132,4,1.4567184,1.1717236,"(46, 47)",1,0,False,0.4457864,0.42922965
133,4,0.9065409,1.3200569,"(50, 51)",1,1,True,0.59285825,0.6019307
134,4,1.1942927,0.8326691,"(52, 51)",1,0,False,0.41079667,0.41056663
135,4,1.2743899,1.1496359,"(56, 57)",1,0,False,0.4742672,0.4688519
136,4,1.0003151,1.0668054,"(57, 58)",1,1,True,0.5160828,0.5166164
137,4,1.2036371,1.1747421,"(60, 59)",1,0,False,0.49392548,0.49277672
138,4,1.0608995,1.0219475,"(62, 61)",1,0,False,0.49064937,0.49026325
139,4,1.1482404,1.0440356,"(64, 63)",1,0,False,0.47623363,0.47397238
140,4,1.3515658,1.0027417,"(65, 64)",1,0,False,0.4259179,0.41366762
141,4,0.88316387,1.2279916,"(66, 67)",1,1,True,0.581668,0.5853628
142,4,0.7725133,1.5664004,"(68, 67)",1,1,True,0.6697128,0.6886654
143,4,0.95163286,1.2321829,"(68, 69)",1,1,True,0.5642339,0.56968105
144,4,1.4811234,1.4060926,"(70, 69)",1,0,False,0.48700637,0.4812511
145,4,1.2338307,1.2253217,"(71, 70)",1,0,False,0.49826995,0.49787274
146,4,0.7709165,1.1884174,"(72, 73)",1,1,True,0.6065415,0.60288507
147,4,0.77953064,0.56524247,"(76, 75)",1,0,False,0.42032552,0.44663203
148,4,0.89819217,1.3011837,"(77, 78)",1,1,True,0.591615,0.5994062
149,4,0.9935461,1.1758977,"(79, 78)",1,1,True,0.54202724,0.54546195
150,4,1.3114641,0.8056124,"(82, 81)",1,0,False,0.3805306,0.37616652
151,4,1.2168441,1.055553,"(83, 82)",1,0,False,0.4645108,0.45976442
152,4,1.161628,0.9135486,"(85, 84)",1,0,False,0.4402269,0.43829632
153,4,0.9927546,1.2121382,"(86, 85)",1,1,True,0.54974926,0.55462694
154,4,0.93343496,1.0031713,"(86, 87)",1,1,True,0.51800483,0.517427
155,4,0.9091564,1.0862598,"(88, 89)",1,1,True,0.5443776,0.5441605
156,4,0.977166,1.1169692,"(92, 91)",1,1,True,0.53337973,0.53489393
157,4,1.0793455,1.0792401,"(94, 93)",1,0,False,0.49997562,0.49997368
158,4,0.9304929,1.0482911,"(95, 94)",1,1,True,0.5297653,0.52941555
159,4,1.0722021,0.94381124,"(98, 97)",1,0,False,0.46815723,0.46794626
160,4,1.2037686,1.4232076,"(61, 78)",0,1,False,0.54176646,0.55464065
161,4,0.9353438,1.1011045,"(72, 74)",0,1,False,0.54069847,0.54134554
162,4,1.5750417,1.2910678,"(66, 72)",0,0,True,0.45046005,0.4294798
163,4,1.2487398,0.9769477,"(66, 91)",0,0,True,0.438942,0.4324672
164,4,1.5520065,1.4614127,"(5, 70)",0,0,True,0.4849683,0.47736707
165,4,1.5666031,1.1881356,"(71, 16)",0,0,True,0.4313061,0.4064966
166,4,1.2655491,1.1747484,"(36, 71)",0,0,True,0.48139554,0.47731543
167,4,1.1693691,0.7988753,"(99, 19)",0,0,True,0.40588215,0.40842167
168,4,0.56357497,0.7347034,"(15, 12)",0,1,False,0.5659059,0.542678
169,4,1.3715588,1.1854637,"(56, 73)",0,0,True,0.46361095,0.45361
170,4,1.0655652,0.77980226,"(63, 20)",0,0,True,0.42257288,0.42904148
171,4,1.2769375,0.70988053,"(6, 94)",0,0,True,0.35729522,0.36191624
172,4,0.9916517,1.2029859,"(25, 65)",0,1,False,0.54814786,0.5526378
173,4,1.0270249,0.87129337,"(10, 38)",0,0,True,0.45898172,0.46114558
174,4,0.95901084,1.7447596,"(38, 13)",0,1,False,0.6453061,0.6869178
175,4,1.1380928,0.70691043,"(60, 53)",0,0,True,0.3831486,0.39384404
176,4,1.2877657,1.2622659,"(86, 0)",0,0,True,0.4950001,0.49362537
177,4,1.3800951,1.6020347,"(64, 0)",0,1,False,0.5372116,0.5552583
178,4,1.1379187,1.4766157,"(22, 46)",0,1,False,0.56477195,0.5838739
179,4,1.5563792,1.173222,"(59, 69)",0,0,True,0.42981443,0.40536565
180,4,1.5402504,0.9717506,"(31, 69)",0,0,True,0.38684326,0.36158305
181,4,1.2738134,1.0267878,"(31, 39)",0,0,True,0.44631281,0.43855572
182,4,1.7189312,0.9499678,"(47, 90)",0,0,True,0.35593995,0.3167034
183,4,1.1271478,1.2328604,"(52, 47)",0,1,False,0.5223967,0.52640355
184,4,1.7030507,0.79328656,"(52, 14)",0,0,True,0.3177802,0.2870481
185,4,0.36113217,0.5884549,"(51, 49)",0,1,False,0.61969554,0.5565872
186,4,1.3548231,0.7705104,"(24, 55)",0,0,True,0.3625362,0.35794082
187,4,1.3945411,0.9796027,"(24, 29)",0,0,True,0.412613,0.39772856
188,4,1.0557153,1.378494,"(97, 57)",0,1,False,0.5663005,0.58000135
189,4,1.3101448,1.0831681,"(1, 84)",0,0,True,0.45258105,0.44349825
190,4,1.3994484,0.91479254,"(84, 50)",0,0,True,0.39528835,0.38115332
191,4,1.2550321,1.1764609,"(50, 82)",0,0,True,0.48384303,0.48036727
192,4,1.2929397,0.8274602,"(93, 54)",0,0,True,0.3902378,0.38568678
193,4,1.1657382,0.96004343,"(9, 17)",0,0,True,0.45161903,0.44875684
194,4,1.5491565,0.86734825,"(9, 89)",0,0,True,0.35892677,0.33585784
195,4,1.4944382,1.1448344,"(83, 89)",0,0,True,0.4337689,0.4134785
196,4,1.532888,0.8842966,"(83, 35)",0,0,True,0.3658374,0.34330702
197,4,0.9391642,1.1396914,"(42, 81)",0,1,False,0.5482302,0.5499645
198,4,1.278891,1.5869217,"(85, 41)",0,1,False,0.5537423,0.5764045
199,4,1.2633891,0.6639442,"(23, 7)",0,0,True,0.3444885,0.3544707
200,4,1.042803,0.8270616,"(7, 21)",0,0,True,0.44231096,0.44627288
201,4,1.2977908,1.2068396,"(44, 61)",0,0,True,0.48184338,0.47727782
202,5,1.4075289,1.982814,"(0, 1)",1,1,True,0.5848418,0.6399818
203,5,0.9932655,2.3022773,"(2, 1)",1,1,True,0.6986034,0.78734773
204,5,0.8807959,1.871258,"(3, 2)",1,1,True,0.6799496,0.7291792
205,5,1.004828,1.8816452,"(3, 4)",1,1,True,0.65188384,0.7061622
206,5,0.98958445,1.9496311,"(4, 5)",1,1,True,0.66331685,0.7231311
207,5,1.032306,1.8810531,"(6, 5)",1,1,True,0.64566475,0.7003042
208,5,1.3045348,1.7126622,"(10, 9)",1,1,True,0.5676335,0.6006388
209,5,1.780746,1.9343431,"(11, 10)",1,1,True,0.5206721,0.53832394
210,5,1.6187229,1.9933362,"(11, 12)",1,1,True,0.5518559,0.5925733
211,5,1.6694262,1.5035988,"(13, 12)",1,0,False,0.4738692,0.4586379
212,5,1.7308396,1.706433,"(13, 14)",1,0,False,0.4964497,0.4938986
213,5,1.453002,1.7939876,"(15, 14)",1,1,True,0.552508,0.5844299
214,5,1.3238422,1.6615671,"(16, 15)",1,1,True,0.5565626,0.5836378
215,5,1.6459256,1.1118994,"(18, 19)",1,0,False,0.40317982,0.3695783
216,5,1.6153858,1.8145889,"(21, 22)",1,1,True,0.52903855,0.5496367
217,5,2.013456,1.9106876,"(24, 25)",1,0,False,0.4869056,0.47433048
218,5,1.7017989,1.8746711,"(25, 26)",1,1,True,0.524168,0.5431107
219,5,1.7327435,1.4972558,"(27, 26)",1,0,False,0.4635468,0.4413986
220,5,1.9700036,1.6239047,"(29, 28)",1,0,False,0.45184925,0.41432872
221,5,1.6931298,1.1411097,"(31, 30)",1,0,False,0.40261585,0.36539584
222,5,1.5749086,2.0998726,"(32, 31)",1,1,True,0.57142794,0.62830776
223,5,0.9881595,1.910027,"(33, 32)",1,1,True,0.6590422,0.71542245
224,5,1.0903138,2.117097,"(34, 33)",1,1,True,0.66006416,0.73629177
225,5,1.6094072,1.7999302,"(35, 34)",1,1,True,0.52794135,0.5474872
226,5,1.4401649,1.6969022,"(36, 37)",1,1,True,0.54091996,0.563834
227,5,1.7172617,1.7260615,"(38, 37)",1,1,True,0.5012778,0.50219995
228,5,1.4200617,1.0821905,"(41, 42)",1,0,False,0.43248656,0.41632667
229,5,1.9608521,1.8152187,"(43, 44)",1,0,False,0.48071626,0.46365583
230,5,1.8737546,1.8540369,"(45, 44)",1,0,False,0.4973553,0.49507073
231,5,1.6486483,1.7390779,"(46, 47)",1,1,True,0.51334673,0.522592
232,5,1.7113783,1.8105332,"(47, 48)",1,1,True,0.5140768,0.52476835
233,5,1.8133013,1.6993772,"(49, 48)",1,0,False,0.48378384,0.47154972
234,5,1.2688345,2.0153682,"(50, 51)",1,1,True,0.6136552,0.678423
235,5,1.0579107,1.406125,"(52, 51)",1,1,True,0.57065934,0.5861845
236,5,1.1363784,1.5794988,"(53, 54)",1,1,True,0.58157957,0.6090023
237,5,1.6283543,1.7785856,"(55, 56)",1,1,True,0.5220478,0.5374874
238,5,1.5936346,2.3310091,"(56, 57)",1,1,True,0.59394157,0.67642146
239,5,1.4114137,1.9466133,"(57, 58)",1,1,True,0.5796896,0.630695
240,5,1.4881898,1.7515253,"(62, 63)",1,1,True,0.5406418,0.56545603
241,5,1.774014,1.6684513,"(65, 64)",1,0,False,0.48466757,0.47363383
242,5,1.9920259,1.6566294,"(68, 67)",1,0,False,0.45403835,0.4169282
243,5,1.3645461,1.5906944,"(71, 70)",1,1,True,0.53826225,0.55629736
244,5,1.716347,2.0009894,"(76, 77)",1,1,True,0.5382858,0.570684
245,5,1.0987571,1.9397033,"(77, 78)",1,1,True,0.63838357,0.6986645
246,5,1.5065653,1.7704948,"(80, 79)",1,1,True,0.54026926,0.565602
247,5,1.3138348,1.7644908,"(80, 81)",1,1,True,0.57319826,0.6107952
248,5,1.9657598,2.2857828,"(82, 81)",1,1,True,0.5376361,0.5793299
249,5,1.7283942,1.8515972,"(83, 82)",1,1,True,0.51720715,0.5307618
250,5,1.4286342,1.5779841,"(83, 84)",1,1,True,0.52483684,0.5372682
251,5,1.7688326,1.7843581,"(86, 85)",1,1,True,0.50218475,0.50388134
252,5,1.753567,2.1546013,"(86, 87)",1,1,True,0.5513072,0.59893614
253,5,1.4478173,1.484025,"(88, 87)",1,1,True,0.5061749,0.50905097
254,5,1.5418556,1.7055731,"(90, 89)",1,1,True,0.5252072,0.5408382
255,5,1.5298852,2.0850217,"(92, 91)",1,1,True,0.5767844,0.63532645
256,5,1.5011765,2.0902975,"(92, 93)",1,1,True,0.58201665,0.64316344
257,5,1.268412,1.9773366,"(94, 93)",1,1,True,0.60920817,0.67016345
258,5,1.3179134,1.8446925,"(95, 94)",1,1,True,0.5832825,0.62873155
259,5,2.0726075,1.9894235,"(96, 97)",1,0,False,0.48976076,0.47921598
260,5,1.9021127,1.8363297,"(98, 97)",1,0,False,0.4912018,0.48356014
261,5,1.7454895,0.92307144,"(66, 72)",0,0,True,0.34590605,0.30525059
262,5,1.804252,1.3435394,"(91, 8)",0,0,True,0.42681968,0.38681674
263,5,1.7821709,1.4153832,"(98, 27)",0,0,True,0.4426456,0.40931743
264,5,1.5632553,1.5768913,"(88, 26)",0,1,False,0.5021712,0.50340897
265,5,1.8750209,1.7506658,"(18, 88)",0,0,True,0.48285082,0.46895126
266,5,1.3704722,1.6659178,"(71, 16)",0,1,False,0.5486508,0.57332873
267,5,1.8448122,1.0776365,"(99, 36)",0,0,True,0.36874437,0.3170904
268,5,1.9143329,1.3233876,"(99, 19)",0,0,True,0.40874052,0.356418
269,5,1.6365405,1.641821,"(73, 12)",0,1,False,0.5008054,0.5013201
270,5,1.826035,1.7311366,"(63, 56)",0,0,True,0.48666096,0.47629318
271,5,2.0313432,1.2821087,"(63, 20)",0,0,True,0.38694048,0.3209881
272,5,2.2064712,0.94859993,"(75, 20)",0,0,True,0.30065882,0.22134055
273,5,1.8486589,1.4975663,"(94, 75)",0,0,True,0.44753897,0.4131175
274,5,1.757316,1.7339385,"(76, 65)",0,0,True,0.496652,0.49415588
275,5,2.0816603,1.7497354,"(25, 65)",0,0,True,0.45668352,0.41777235
276,5,1.6931618,1.8153428,"(25, 87)",0,1,False,0.5174121,0.5305073
277,5,1.9866655,1.7918749,"(45, 92)",0,0,True,0.47422406,0.4514557
278,5,1.6334342,1.9958286,"(45, 48)",0,1,False,0.5499267,0.58961993
279,5,2.1451025,1.7607974,"(48, 67)",0,0,True,0.45080453,0.40508896
280,5,1.8380924,1.7825189,"(67, 10)",0,0,True,0.4923254,0.48611015
281,5,1.5216248,1.8917065,"(38, 13)",0,1,False,0.5542112,0.59147877
282,5,1.6321619,1.8868865,"(32, 43)",0,1,False,0.53619224,0.56333905
283,5,1.4032627,1.229726,"(60, 43)",0,0,True,0.46704563,0.45672432
284,5,1.656198,1.6063367,"(11, 28)",0,0,True,0.4923585,0.48753726
285,5,1.7048062,1.9426618,"(86, 0)",0,1,False,0.5326056,0.5591851
286,5,1.6610918,1.7037442,"(64, 22)",0,1,False,0.506338,0.5106615
287,5,1.832675,1.6917658,"(22, 46)",0,0,True,0.48000973,0.4648309
288,5,1.7357695,1.8201828,"(30, 34)",0,1,False,0.51186925,0.5210908
289,5,1.8648279,0.5250312,"(59, 30)",0,0,True,0.21969129,0.2075435
290,5,1.793008,0.5079954,"(59, 69)",0,0,True,0.22077127,0.21669818
291,5,1.9144565,0.75237864,"(31, 69)",0,0,True,0.2821242,0.23828994
292,5,1.9023219,1.5631974,"(31, 39)",0,0,True,0.45107162,0.41602215
293,5,1.7687076,1.8880445,"(47, 90)",0,1,False,0.5163173,0.5297988
294,5,1.6271551,1.8974054,"(52, 47)",0,1,False,0.5383382,0.56715435
295,5,1.5164658,1.571803,"(49, 14)",0,1,False,0.5089593,0.5138308
296,5,1.7204238,1.8309364,"(55, 77)",0,1,False,0.5155592,0.52760005
297,5,2.0500462,2.011621,"(24, 55)",0,0,True,0.49526978,0.49039492
298,5,1.8691177,1.3723546,"(24, 29)",0,0,True,0.42337385,0.37830165
299,5,2.2818365,1.4871051,"(79, 29)",0,0,True,0.39456832,0.31115365
300,5,2.3760822,1.9503396,"(97, 79)",0,0,True,0.45079738,0.3951434
301,5,1.6132231,2.072516,"(97, 57)",0,1,False,0.56230676,0.61284643
302,5,1.8613007,1.6589012,"(50, 82)",0,0,True,0.47125173,0.44957215
303,5,1.8137646,1.4778544,"(82, 68)",0,0,True,0.4489749,0.41680327
304,5,1.9436857,1.2700826,"(96, 40)",0,0,True,0.39520043,0.33769056
305,5,1.9777622,0.85579723,"(17, 40)",0,0,True,0.30202198,0.24564698
306,5,1.6427585,1.6618721,"(83, 89)",0,1,False,0.50289196,0.50477827
307,5,1.4250494,1.9269515,"(37, 35)",0,1,False,0.57486606,0.6229062
308,5,1.918756,2.034624,"(81, 37)",0,1,False,0.51465434,0.52893466
309,5,1.4292401,1.2470614,"(42, 85)",0,0,True,0.4659645,0.45458087
310,5,1.6575718,1.0778781,"(85, 41)",0,0,True,0.39404052,0.35900307
311,5,2.362405,1.1874313,"(41, 23)",0,0,True,0.3345031,0.23595715
312,5,1.8828472,1.108951,"(23, 7)",0,0,True,0.37066367,0.31563687
313,5,1.8199344,1.2474223,"(7, 21)",0,0,True,0.40667665,0.36065736
314,5,1.886851,1.8886701,"(21, 44)",0,1,False,0.5002409,0.5004548
315,5,1.4446551,1.5195963,"(44, 61)",0,1,False,0.51264083,0.5187266
316,6,1.7793221,2.2673564,"(99, 0)",0,1,False,0.5603006,0.6196433
317,6,1.5825241,2.2738996,"(2, 1)",1,1,True,0.5896395,0.6662729
318,6,1.7859471,2.2169375,"(3, 2)",1,1,True,0.553835,0.60611016
319,6,1.3890446,2.1483262,"(3, 4)",1,1,True,0.6073229,0.6811977
320,6,2.106388,2.1309855,"(4, 5)",1,1,True,0.50290245,0.50614905
321,6,1.4145172,2.2524738,"(7, 6)",1,1,True,0.61425674,0.6980347
322,6,1.5210346,2.3263717,"(8, 7)",1,1,True,0.60465974,0.69111496
323,6,1.8453745,2.2855392,"(9, 8)",1,1,True,0.5532769,0.60829824
324,6,1.6729115,1.8395851,"(11, 12)",1,1,True,0.5237258,0.54157215
325,6,2.1402202,2.002571,"(15, 14)",1,0,False,0.4833869,0.46564198
326,6,1.8515539,2.141125,"(16, 15)",1,1,True,0.53626275,0.5718911
327,6,1.0598748,1.7839398,"(18, 19)",1,1,True,0.62730527,0.6735015
328,6,1.5754619,1.9098812,"(21, 20)",1,1,True,0.54797506,0.5828343
329,6,2.1901698,2.0389106,"(23, 24)",1,0,False,0.4821168,0.4622571
330,6,1.6515158,1.8738844,"(25, 26)",1,1,True,0.53153807,0.5553642
331,6,1.9411796,2.1668165,"(27, 26)",1,1,True,0.52746314,0.5561711
332,6,1.5068575,2.0172088,"(28, 27)",1,1,True,0.5724094,0.62488884
