,system,embedding,exp-coef_intercept,exp-coef_distances,exp-coef_degrees,proc-coef_intercept,exp-feature_normalization,proc-feature_normalization,exp-feature_distances,exp-feature_degrees,exp-feature_intercept,proc-feature_distances,proc-feature_degrees,proc-feature_intercept
371,arxiv,N2V,-0.1269940433462353,-4.501784939178314,-7.401442139330121,-0.2380037555379434,12.03022112185467,12.141230834046379,0.374206333664155,0.6152374145379848,0.010556251797860239,0.37078488999273707,0.6096121752808648,0.01960293472639818
372,arxiv,N2V,-0.1052219338254864,-4.924875456744227,-7.685683080619067,-0.1971999217880885,12.715780471188781,12.807758459151383,0.3873042215460494,0.6044208688592233,0.00827490959472732,0.3845228243842553,0.600080264250104,0.015396911365640698
373,arxiv,N2V,-0.1349160407078553,-4.5103397722902,-7.525408202011762,-0.2528506339721288,12.170664015009816,12.28859860827409,0.37059110059465084,0.6183235518399686,0.011085347565380599,0.3670345102860894,0.6123894548028281,0.020576034911082397
374,arxiv,N2V,-0.1484498150171137,-5.021679948832068,-7.5037337631213,-0.2782147300142125,12.673863526970482,12.80362844196758,0.3962232935636189,0.5920636392488414,0.011713067187539616,0.39220756612805674,0.5860630677570782,0.02172936611486509
375,arxiv,N2V,-0.1285787295468325,-5.41883146137006,-7.704947613155028,-0.2409736685917627,13.25235780407192,13.364752743116851,0.4088956502295063,0.5814020212152441,0.009702328555249662,0.4054569183227786,0.5765125446950936,0.018030536982127865
376,arxiv,N2V,-0.1019388118912427,-4.69509106078685,-7.580727536724177,-0.1910469139016586,12.37775740940227,12.466865511412685,0.37931677811203596,0.6124475772134441,0.008235644674519982,0.37660557551445223,0.6080700501488898,0.015324374336658009
539,celegans,HOPE,-0.5355348332881688,-6.44481692147023,-8.960082029322852,1.7076488080320853,15.94043378408125,17.112547758825166,0.4043062446585538,0.5620977540944178,0.03359600124702844,0.37661352431560363,0.5235971963731713,0.09978927931122505
540,celegans,HOPE,-0.5355348332881683,-6.444816921470233,-8.960082029322852,1.707648808032084,15.940433784081254,17.11254775882517,0.40430624465855386,0.5620977540944176,0.03359600124702844,0.37661352431560374,0.5235971963731711,0.09978927931122517
541,celegans,HOPE,-0.38455755127007,-5.930253458929852,-8.714105783030748,1.2262306823517328,15.02891679323067,15.870589924312332,0.39458954630722015,0.5798226114975737,0.025587842195206045,0.3736630766223271,0.5490725817117555,0.07726434166591734
542,celegans,HOPE,-0.3845575512700698,-5.930253458929853,-8.71410578303075,1.226230682351732,15.028916793230671,15.870589924312334,0.39458954630722015,0.5798226114975737,0.025587842195206045,0.3736630766223271,0.5490725817117557,0.07726434166591722
543,celegans,HOPE,-0.3038749096587012,-4.482833899078866,-8.05359398578203,0.9689596175909528,12.840302794519596,13.505387502451848,0.3491221329291546,0.6272121549360506,0.023665712134794736,0.331929305861459,0.5963245396935062,0.07174615444503485
544,celegans,HOPE,-0.3038749096587008,-4.4828338990788215,-8.05359398578203,0.9689596175909516,12.840302794519552,13.505387502451804,0.34912213292915234,0.6272121549360529,0.023665712134794847,0.33192930586145686,0.5963245396935082,0.07174615444503496
545,celegans,HOPE,-0.5337316254814516,-4.584429274940076,-8.001948426249584,1.701898956723874,13.120109326671113,14.288276657913535,0.3494200513726402,0.6098995234729397,0.04068042515442005,0.3208524991991248,0.5600359384011311,0.11911156239974408
546,celegans,HOPE,-0.5337316254814523,-4.584429274940099,-8.001948426249585,1.701898956723876,13.120109326671137,14.28827665791356,0.3494200513726413,0.6098995234729387,0.04068042515441994,0.32085249919912584,0.5600359384011302,0.11911156239974396
547,celegans,HOPE,-0.3678624461982531,-2.778582346727004,-7.789363080078655,1.1729953473114108,10.935807873003911,11.74094077411707,0.2540811231318539,0.7122805347840321,0.03363834208411409,0.23665755582826847,0.6634360252672702,0.09990641890446139
658,celegans,Isomap,-0.4256281836258787,0.0,-8.549632546178417,1.357191755335349,8.975260729804296,9.906824301513765,0.0,0.952577624601758,0.04742237539824201,0.0,0.863004358003203,0.13699564199679704
659,celegans,Isomap,-0.3151690070778021,0.0,-8.400912434944674,1.0049728716254445,8.716081442022476,9.405885306570118,0.0,0.9638405160421871,0.03615948395781288,0.0,0.8931548877250864,0.10684511227491356
660,celegans,Isomap,-0.2971910822431088,-2.707267341918537,-8.198595442429156,0.9476470358317998,11.203053866590801,11.853509820179493,0.2416544072855007,0.7318179078722995,0.026527684842199806,0.22839373172911767,0.6916597334294871,0.07994653484139524
661,celegans,Isomap,-0.4924100831881805,-2.272934906343808,-7.959482007799499,1.570137812430236,10.724826997331487,11.802554726573543,0.211932081226984,0.7421548160898026,0.04591310268321336,0.19257990824870122,0.6743863673750788,0.13303372437621996
706,celegans,LE,-0.6825923835191551,-8.970393363419811,-9.982768003789904,2.1765681663157963,19.63575375072887,21.129729533525513,0.45683977693429945,0.508397494209732,0.03476272885596854,0.42453895820989684,0.472451291340513,0.10300975044959015
707,celegans,LE,-0.5150444995905045,-9.30380976275024,-9.697764159491689,1.64231170624142,19.516618421832433,20.643885628483346,0.47671218249276487,0.4968977693719318,0.026390048135303268,0.4506811329119811,0.46976447816157363,0.07955438892644529
708,celegans,LE,-0.3198229764868213,-11.200285509706726,-8.603425966276838,1.019812887288166,20.123534452470384,20.82352436327173,0.5565764570911035,0.4275305606277665,0.015892982281130008,0.5378669486641583,0.41315897425372683,0.048974077082114875
709,celegans,LE,-0.7341009647890129,-9.992956846932389,-9.224123092860165,2.340812510364965,19.951180904581566,21.557892450157517,0.5008704444476075,0.4623346927169583,0.03679486283543415,0.4635405279081153,0.4278768490095499,0.1085826230823348
779,celegans,N2V,-0.6212551334044335,-9.295005568947682,-9.792054077643114,1.9809833499122504,19.708314779995227,21.068042996503046,0.4716286335340303,0.4968488775906128,0.03152248887535691,0.4411897949178527,0.46478232834765126,0.09402787673449603
780,celegans,N2V,-0.604594338645398,-9.088163782227747,-9.584662991265496,1.9278574194541935,19.27742111213864,20.600684192947437,0.4714408493418809,0.49719632805189945,0.03136282260621964,0.44115834683486116,0.4652594497102561,0.09358220345488266
781,celegans,N2V,-0.4662906645048826,-9.46805926572101,-9.485392228885718,1.4868513641759464,19.41974215911161,20.440302858782673,0.4875481449828962,0.48844068840714433,0.024011166609959445,0.4632054295444467,0.464053409307,0.07274116114855322
782,celegans,N2V,-0.4923867589544932,-9.7740905250095,-9.785422348083488,1.5700634389303652,20.05189963204748,21.129576312023353,0.487439629379966,0.48800475404555516,0.024555616574478856,0.462578632939637,0.46311493442087115,0.07430643263949177
783,celegans,N2V,-0.1586330066649436,-16.0461965275684,-7.0835654262985255,0.5058297759693484,23.288394960531868,23.63559172983628,0.689021143567978,0.30416718019010913,0.006811676241912923,0.6788997166215458,0.2996990939455355,0.021401189432918688
784,celegans,N2V,-0.1709689567771548,-16.576481088526698,-7.1495990089143175,0.545165164063003,23.897049054218172,24.27124526150402,0.6936622614330998,0.2991833423739117,0.007154396192988466,0.682967886893641,0.29457075365861457,0.022461359447744467
785,celegans,N2V,-0.6228864558898743,-10.207772603849262,-8.318847107856183,1.986185114063939,19.14950616759532,20.512804825769386,0.5330567020638263,0.4344157512496738,0.03252754668649993,0.49762929499654096,0.4055441066453067,0.09682659835815233
786,celegans,N2V,-0.5524807271613169,-10.277826293741365,-8.171923589117391,1.7616838281181617,19.00223061002007,20.21143371097692,0.5408747270081946,0.4300507533472545,0.029074519644550878,0.5085154492607534,0.404321816352849,0.0871627343863976
787,celegans,N2V,-0.4695505761273612,-9.354728022819222,-8.869304780732547,1.4972461767080008,18.69358337967913,19.72127898025977,0.500424548510495,0.4744571760582794,0.02511827543122558,0.4743469240601961,0.4497327373954993,0.07592033854430463
922,drosophila,HOPE,1.8654523883927407,-9.11675361256919,-16.53366287397041,2.167169622172201,27.51586887493234,27.8175861087118,0.3313271208700513,0.6008773682241595,0.06779551090578928,0.32773345526605707,0.5943600860749187,0.07790645865902412
923,drosophila,HOPE,1.8703843402983944,-9.147405619545257,-16.552402847286206,2.1728992652413317,27.570192807129857,27.872707732072797,0.33178605907970543,0.6003731262628541,0.06784081465744041,0.32818503704322366,0.5938570090282097,0.07795795392856664
924,drosophila,HOPE,1.672090104257032,-8.830583704840624,-16.69459747464867,1.942533029536467,27.197271283746325,27.46771420902576,0.3246863853624158,0.6138335460376028,0.06148006859998145,0.3214895727267665,0.6077898345528476,0.07072059272038589
925,drosophila,HOPE,1.6756383816080676,-8.848484300450377,-16.708027478814177,1.9466552032965976,27.23215016087262,27.50316698256115,0.324927860935636,0.6135405166361196,0.06153162242824428,0.32172601453719524,0.6074946746826715,0.07077931078013333
926,drosophila,HOPE,1.7770531663221203,-8.507154141728003,-16.56238839856304,2.0644727589945977,26.846595706613165,27.134015299285643,0.31688018230305537,0.6169269496796274,0.06619286801731727,0.3135235993602455,0.6103920933146625,0.07608430732509208
927,drosophila,HOPE,1.7824841301506862,-8.545758173534113,-16.581841246221927,2.0707821238980486,26.910083549906727,27.198381543654087,0.31756713641135215,0.6161943427440381,0.0662385208446098,0.31420098140096886,0.6096627926043193,0.07613622599471181
928,drosophila,HOPE,1.7724116651793975,-9.265924099642731,-16.7691005342539,2.059080544033564,27.80743629907603,28.094105177930196,0.33321748901931725,0.6030437453455965,0.06373876563508629,0.3298173777366555,0.5968903593137806,0.07329226294956381
929,drosophila,HOPE,1.7940652889466366,-9.37983640045301,-16.85428933310299,2.084236412888914,28.02819102250264,28.318362146444915,0.3346572168329501,0.6013334688482536,0.06400931431879642,0.33122806862721593,0.5951717562598823,0.07360017511290173
930,drosophila,HOPE,1.7077159963683983,-9.117601414692588,-16.093507378593912,1.983921033661868,26.9188247896549,27.19502982694837,0.3387072610315644,0.5978532682741323,0.06343947069430322,0.3352671967161324,0.5917811997634352,0.07295160352043228
1068,drosophila,Isomap,1.39048103328506,-4.875238513542646,-16.743250793866157,1.6153766637476736,23.008970340693864,23.233865971156476,0.21188425389554513,0.727683618430065,0.06043212767438988,0.20983328902710283,0.7206398975810547,0.06952681339184241
1069,drosophila,Isomap,1.2131574755530277,-3.707737450796304,-16.651876698644053,1.409372892220993,21.572771624993386,21.768987041661347,0.17187116775021444,0.7718932452495731,0.05623558700021236,0.17032200183226073,0.764935762365782,0.06474223580195726
1070,drosophila,Isomap,1.3395423416947756,-5.51202931456024,-16.49888300236857,1.5561991764558236,23.350454658623583,23.567111493384633,0.23605661624770918,0.7065765203965888,0.05736686335570207,0.23388650391489366,0.7000808311616746,0.06603266492343174
1071,drosophila,Isomap,1.3374329908121432,-4.503501983722883,-16.96937938922966,1.5537486603323425,22.810314363764682,23.02663003328488,0.19743270136061428,0.7439344815074693,0.05863281713191637,0.19557798849475988,0.7369458476859403,0.06747616381929977
1144,drosophila,LE,1.2531226569192395,-1.5885343703559207,-16.32878948032999,1.455802019836563,19.170446507605153,19.373125870522475,0.08286371262796251,0.851768865886987,0.06536742148505048,0.08199680221832366,0.8428577602531016,0.07514543752857483
1145,drosophila,LE,1.1769046714140745,-1.2682757112236258,-16.584500220215574,1.3672565796646647,19.029680602853276,19.220032511103867,0.06664724110153813,0.8715070192890638,0.06184573960939799,0.06598717824701457,0.8628757631202921,0.07113705863269326
1146,drosophila,LE,1.270030983525697,-1.1009527298018291,-16.531272492077125,1.4754450898024778,18.90225620540465,19.10767031168143,0.05824451419122326,0.8745661000695991,0.06718938573917765,0.05761836539165971,0.8651642101010487,0.07721742450729152
1147,drosophila,LE,1.1674271190246135,-1.323171778495042,-16.511160145116598,1.356246133212755,19.00175904263625,19.190578056824396,0.06963417310608465,0.8689279823025209,0.06143784459139445,0.06894903189351853,0.860378467820308,0.07067250028617345
1245,drosophila,N2V,1.948349756351217,-11.430238689738502,-17.38766781282121,2.2634747644076616,30.76625625891093,31.081381266967373,0.3715186727155965,0.5651538382342234,0.06332748905018004,0.3677519538646217,0.5594239092359917,0.0728241368993866
1246,drosophila,N2V,1.9291358272871044,-11.37267448037317,-17.315190533726195,2.241153185122438,30.61700084138647,30.929018199221805,0.3714496576359687,0.565541694414445,0.06300864794958627,0.367702408369992,0.5598364106546989,0.07246118097530907
1247,drosophila,N2V,1.788988957224579,-11.552796964011222,-17.45064700682587,2.0783390380920204,30.79243292806167,31.081783008929115,0.3751829870345503,0.5667186820734388,0.058098330892010996,0.3716902907626746,0.5614429198547807,0.06686678938254464
1248,drosophila,N2V,1.815671382318068,-11.60544996589976,-17.50889548216042,2.109337063808622,30.930016830378246,31.2236825118688,0.3752164128957519,0.566081020200541,0.05870256690370712,0.3716874190444473,0.560756902248955,0.06755567870659773
1249,drosophila,N2V,1.976394958708052,-11.6287616322416,-17.60525283450445,2.2960559822257,31.210409425454102,31.530070448971752,0.3725924089530718,0.564082726199235,0.06332486484769317,0.3688149587569613,0.5583638914793033,0.07282114976373533
1250,drosophila,N2V,1.9671168347012824,-11.491703832669408,-17.48981973035911,2.2852772195923947,30.9486403977298,31.266800782620912,0.3713153044846638,0.5651240088608885,0.0635606866544477,0.3675369255896774,0.5593734981699986,0.07308957624032397
1251,drosophila,N2V,1.9663599771747888,-11.963220629192422,-18.030518320679736,2.2843979483497003,31.960098927046946,32.27813689822186,0.37431738420147004,0.5641571498835696,0.06152546591496044,0.3706292177554849,0.5585984834729728,0.07077229877154234
1252,drosophila,N2V,2.003660787256176,-12.014366039194131,-18.120717280094155,2.32773177074784,32.138744106544465,32.46281509003613,0.37382811224249507,0.5638277967558851,0.06234409100161975,0.37009624722539,0.5581991959057173,0.07170455686889277
1253,drosophila,N2V,1.8496920395430527,-11.229288044564036,-16.98734762375934,2.1488602032481903,30.066327707866428,30.365495871571568,0.37348385721299954,0.5649957583384831,0.06152038444851737,0.36980420448450474,0.5594292843300162,0.07076651118547916
1416,london,HOPE,2.584118894951458,-4.669518969333897,-11.385800093531158,8.139974519097095,18.63943795781651,24.195293581962147,0.25051822806576196,0.610844603753542,0.13863716818069605,0.1929928625794842,0.4705791254386512,0.33642801198186456
1417,london,HOPE,2.584421074998196,-4.671398457406825,-11.386845880285628,8.140926386244319,18.64266541269065,24.199170723936774,0.2505756743468054,0.6107949495534176,0.138629376099777,0.19303960911297177,0.47054694601671837,0.33641344487030983
1418,london,HOPE,-0.1759432986047695,-2.131113738278397,-6.041035342464033,-0.5542213906050241,8.3480923793472,8.726370471347455,0.2552815231837486,0.7236426081495312,0.021075868666720177,0.24421536368135974,0.6922735359791831,0.06351110033945717
1419,london,HOPE,-0.1758767244604961,-2.131389929363818,-6.041462006732972,-0.5540116820505628,8.348728660557285,8.726863618147352,0.2552951492403091,0.7236385625125465,0.021066288247144405,0.24423321168118542,0.6922833071631672,0.06348348115564739
1420,london,HOPE,-0.2353122694480093,-1.994114206197696,-6.425917945955394,-0.7412336487612294,8.6553444216011,9.16126580091432,0.23039108660089772,0.7424219803337072,0.027186933065395102,0.2176679783702682,0.7014224983314062,0.08090952329832557
1421,london,HOPE,-0.2352446387258037,-1.9942788356475647,-6.426345980257455,-0.7410206119862818,8.655869454630825,9.161645427891301,0.2303961313303588,0.7424263979419663,0.027177470727674846,0.21767692837972882,0.7014401540462782,0.08088291757399291
1422,london,HOPE,-0.2804959140497344,-2.00777761843764,-5.991520135914906,-0.8835621292566636,8.27979366840228,8.88285988360921,0.24249126232454452,0.72363157535918,0.033877162316275466,0.22602828872066555,0.674503506125381,0.09946820515395349
1423,london,HOPE,-0.280788584381615,-2.008444111348304,-5.992992071703776,-0.8844840408020875,8.282224767433695,8.885920223854168,0.24250055603968285,0.7235968885158314,0.03390255544448573,0.22602544933462881,0.67443685299083,0.09953769767454124
1424,london,HOPE,0.1057294257002152,-2.790075794400361,-9.546788045931835,0.3330476909556779,12.44259326603241,12.669911531287873,0.22423587549205784,0.7672667459117254,0.008497378596216798,0.22021272899265104,0.7535007661542387,0.02628650485311035
1587,london,Isomap,0.7671078171972104,-8.078192868991753,-7.859622078801408,2.416389624171213,16.70492276499037,18.354204571964374,0.4835815754815559,0.47049736112957946,0.04592106338886465,0.4401276469006457,0.4282191607914625,0.13165319230789185
1588,london,Isomap,0.4720218807581625,-7.690637103017473,-7.505154135327418,1.486868924388212,15.667813119103053,16.682660162733104,0.490855810224123,0.4790173381744466,0.03012685160143047,0.46099585006217164,0.4498775412384745,0.0891266086993539
1589,london,Isomap,-0.5430176516657587,-7.404375965786016,-4.161024728402882,-1.71050560274714,12.108418345854657,13.27590629693604,0.6115064539639828,0.3436472551204359,0.04484629091558123,0.5577303575496673,0.3134267925168476,0.12884284993348516
1590,london,Isomap,-0.7191118303354865,-7.030389252296446,-4.437735767610035,-2.265202265556783,12.187236850241968,13.733327285463265,0.5768649070077656,0.3641297713453339,0.05900532164690048,0.5119217729368554,0.323136241885634,0.16494198517751063
1591,london,Isomap,-0.4859895862589203,-7.351836939561933,-4.694842626327928,-1.5308671967155991,12.532669152148781,13.57754676260546,0.5866138210711026,0.3746083591078423,0.038777819821055104,0.5414701984168423,0.3457798900209431,0.11274991156221459
1592,london,Isomap,-0.710962416578118,-6.92576114451397,-4.898340769211631,-2.239531612221072,12.535064330303719,14.063633525946674,0.5525110172566751,0.3907710914071509,0.05671789133617405,0.4924588749938841,0.3482983796594562,0.15924274534665972
1593,london,Isomap,-0.4992592530947958,-7.480578910614279,-4.444232721555458,-1.572666647248607,12.424070885264532,13.497478279418342,0.6021036888550401,0.357711474974479,0.04018483617048091,0.554220481467346,0.3292639283837378,0.11651559014891616
1594,london,Isomap,-0.7379378862003155,-7.049094009293455,-4.535702185627192,-2.3245043415309943,12.322734081120963,13.909300536451642,0.5720397732263829,0.36807596072174537,0.05988426605187175,0.5067899705538843,0.3260913209647479,0.16711870848136778
1595,london,Isomap,-0.6372975370264844,-6.245213678368126,-8.278531841833452,-2.0074872416334264,15.161043057228062,16.531232761835003,0.4119250670811007,0.5460397289675029,0.04203520395139637,0.3777826958426356,0.5007812763332308,0.12143602782413365
1733,london,LE,3.491667866346747,-5.978460244908077,-13.323292347487936,10.998753778992254,22.79342045874276,30.300506371388266,0.26228885900338617,0.5845236072226969,0.15318753377391692,0.1973056216167177,0.4397052704065918,0.3629891079766905
1734,london,LE,-0.0265366242033026,-2.740674501219431,-6.299120877448501,-0.0835903662404032,9.066332002871235,9.123385744908335,0.3022914338843406,0.6947816245261722,0.002926941589487253,0.30040103288945913,0.6904367581918778,0.00916220891866315
1735,london,LE,-0.1581702505499379,-2.2215504386838,-6.3623838064081415,-0.4982362892323045,8.742104495641879,9.082170534324247,0.2541207829065975,0.7277862909989148,0.01809292609448776,0.2446056733121113,0.7005356024050401,0.05485872428284855
1736,london,LE,0.254349143738194,-3.29890895700098,-6.970968500597244,0.8011998027753113,10.524226601336418,11.071077260373535,0.3134585639368568,0.6623734707224982,0.024167965340645026,0.2979754254636713,0.6296558443818543,0.07236873015447443
1834,london,N2V,2.796607865924717,-4.92998945833076,-11.608112962034411,8.80931477766286,19.33471028628989,25.347417198028033,0.2549812945387954,0.6003768761027489,0.1446418293584556,0.1944967181395626,0.4579603859180372,0.3475428959424002
1835,london,N2V,2.956560701190889,-5.163066923187678,-11.961252201776167,9.313166208751303,20.080879826154735,26.43748533371515,0.25711358107242593,0.5956537913342322,0.14723262759334188,0.19529341985500154,0.45243532245187645,0.35227125769312195
1836,london,N2V,-0.2862333825603712,-2.215443242671685,-5.799479886550518,-0.9016351550651694,8.301156511782574,8.916558284287373,0.26688368536686524,0.6986351694873838,0.03448114514575096,0.24846394449927012,0.650416865077894,0.1011191904228359
1837,london,N2V,-0.2833316327235233,-2.1955035538711845,-5.835804605303449,-0.8924946430790985,8.314639791898156,8.923802802253732,0.26405275620123664,0.7018710072070589,0.034076236591704445,0.24602779807244327,0.6539593864433669,0.10001281548418983
1838,london,N2V,0.1133117615670084,-3.231552520963181,-7.100219241106714,0.3569320489360765,10.445083523636903,10.688703811005972,0.309385033987548,0.6797666313571487,0.010848334655303327,0.3023334333238524,0.6642731772392966,0.033393389436851106
1839,london,N2V,0.097493691039682,-3.3117853414331155,-7.138215174921488,0.3071051267749983,10.547494207394285,10.757105643129602,0.3139878796151791,0.6767688167979524,0.009243303586868423,0.30786955630098345,0.6635813955662465,0.02854904813277004
1840,london,N2V,-0.1188006258223524,-2.722451023489211,-6.300478493119297,-0.3742219713404101,9.14173014243086,9.397151487948918,0.2978047898015604,0.6891997898599038,0.012995420338535846,0.2897102411279134,0.6704668431917,0.03982291568038665
1841,london,N2V,-0.0914974919454203,-2.795188151194573,-6.384780917396856,-0.288217099628074,9.27146656053685,9.468186168219503,0.30148284879676274,0.6886484328782561,0.009868718324981263,0.2952189681880969,0.6743404495813285,0.030440582230574553
1842,london,N2V,0.9175118595776685,-5.994072542589862,-11.491887172096591,2.890162357669656,18.403471574264124,20.37612207235611,0.3257033608252545,0.6244412705354535,0.049855368639292075,0.2941714091280354,0.5639879429112477,0.14184064796071694
